Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
8,29,55,68,56,74,49,1955,98,1968,0,0.14,1992,2011-08-29,FALSE,NA,FALSE,0,241,Aug
5,7,51,60,50,66,40,1968,89,2007,0,0.44,1994,2011-05-07,FALSE,NA,FALSE,0,127,May
5,13,48,60,50,66,45,1968,90,1976,0,0.32,1995,2011-05-13,FALSE,NA,FALSE,0,133,May
2,10,40,64,45,59,35,1985,71,1988,0,1.47,1959,2011-02-10,FALSE,NA,FALSE,0,41,Feb
10,31,53,71,51,67,41,1972,83,1967,0,0.27,1974,2011-10-31,FALSE,NA,FALSE,1.1800000000000002,304,Oct
6,8,54,67,52,69,47,1982,98,1973,0,0.6,1964,2011-06-08,FALSE,NA,FALSE,0.97,159,Jun
4,27,49,61,49,65,36,1955,87,2004,0,0.89,1953,2011-04-27,FALSE,NA,FALSE,0.33000000000000007,117,Apr
3,13,51,64,47,61,33,1954,76,1994,0.19,0.92,1983,2011-03-13,FALSE,NA,FALSE,0.8500000000000001,72,Mar
2,5,46,73,45,58,31,1989,73,2011,0,1.26,1969,2011-02-05,TRUE,"Record
 High: 73",FALSE,0,36,Feb
9,24,56,69,55,73,48,1955,93,1978,0,0.18,1986,2011-09-24,FALSE,NA,FALSE,0,267,Sep
11,18,48,58,48,62,36,1964,74,1949,0.01,2.26,1982,2011-11-18,FALSE,NA,FALSE,0.94,322,Nov
6,6,56,61,52,69,46,1963,88,1983,0,0.6,1988,2011-06-06,FALSE,NA,FALSE,0.97,157,Jun
10,22,54,82,53,69,42,1949,85,1965,0,0.91,1973,2011-10-22,FALSE,NA,FALSE,1.1800000000000002,295,Oct
10,15,60,72,53,71,42,1966,95,1961,0,1.42,1969,2011-10-15,FALSE,NA,FALSE,1.1800000000000002,288,Oct
9,14,56,66,56,74,46,1947,103,1971,0,0,NA,2011-09-14,FALSE,NA,FALSE,0,257,Sep
4,16,53,66,48,64,40,1975,81,1999,0,0.64,2000,2011-04-16,FALSE,NA,FALSE,0.19,106,Apr
7,4,55,69,54,71,46,1954,85,1973,0,0,NA,2011-07-04,FALSE,NA,FALSE,0,185,Jul
3,29,47,62,47,62,38,1975,76,1968,0,1.05,1958,2011-03-29,FALSE,NA,FALSE,5.7,88,Mar
12,21,39,60,44,56,28,1990,68,1999,0,1.73,1945,2011-12-21,FALSE,NA,FALSE,0.13,355,Dec
7,31,57,71,55,72,49,1956,97,1993,0,0.02,1949,2011-07-31,FALSE,NA,FALSE,0,212,Jul
7,29,56,70,55,72,44,1951,91,1977,0,0,NA,2011-07-29,FALSE,NA,FALSE,0,210,Jul
8,17,55,67,56,73,44,1935,85,1939,0,0.03,1976,2011-08-17,FALSE,NA,FALSE,0,229,Aug
3,21,46,57,47,61,38,1969,74,1997,0.08,1.86,1975,2011-03-21,FALSE,NA,FALSE,3.1300000000000003,80,Mar
1,30,46,57,45,58,30,1975,71,1976,0.25,1.91,1963,2011-01-30,FALSE,NA,FALSE,0.94,30,Jan
