Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
6,24,52,70,53,71,46,1955,97,1976,0,0.04,1975,2011-06-24,FALSE,NA,FALSE,0.97,175,Jun
2,15,52,61,46,60,33,1953,72,1977,0.43,2.42,2009,2011-02-15,FALSE,NA,FALSE,0.55,46,Feb
5,17,50,57,51,67,45,1996,93,2009,0.11,0.24,1994,2011-05-17,FALSE,NA,FALSE,0.39,137,May
3,7,49,56,47,61,35,1956,77,1953,0,0.63,1968,2011-03-07,FALSE,NA,FALSE,0.65,66,Mar
10,11,59,73,54,72,46,1955,88,2010,0,2.38,1962,2011-10-11,FALSE,NA,FALSE,1.1800000000000002,284,Oct
4,25,51,62,49,65,41,1974,87,2004,0.02,0.48,1994,2011-04-25,FALSE,NA,FALSE,0.33000000000000007,115,Apr
3,4,44,61,46,60,35,1966,77,1959,0,1.36,1996,2011-03-04,FALSE,NA,FALSE,0.13,63,Mar
1,18,46,59,44,56,30,1947,68,1948,0,1.82,1969,2011-01-18,FALSE,NA,FALSE,0.6299999999999999,18,Jan
8,23,55,85,56,73,49,1953,92,2010,0,0,NA,2011-08-23,FALSE,NA,FALSE,0,235,Aug
6,20,57,90,53,70,49,1953,96,2008,0,0.01,1951,2011-06-20,FALSE,NA,FALSE,0.97,171,Jun
11,2,54,72,51,67,38,1952,85,1967,0,0.53,2008,2011-11-02,FALSE,NA,FALSE,0,306,Nov
2,1,45,63,44,58,30,1950,70,1976,0,1.06,1960,2011-02-01,FALSE,NA,FALSE,0,32,Feb
5,26,50,64,51,68,42,1953,89,1896,0,0.12,1947,2011-05-26,FALSE,NA,FALSE,0.4,146,May
7,28,55,70,55,71,48,1953,88,1954,0,0,NA,2011-07-28,FALSE,NA,FALSE,0,209,Jul
9,21,54,78,56,74,45,1955,95,2003,0,0.02,2007,2011-09-21,FALSE,NA,FALSE,0,264,Sep
4,5,50,61,47,63,39,1975,84,1989,0,0.74,1969,2011-04-05,FALSE,NA,FALSE,0,95,Apr
7,16,56,70,55,71,49,1949,87,1988,0,0.01,1990,2011-07-16,FALSE,NA,FALSE,0,197,Jul
8,15,56,71,56,73,46,1955,90,1950,0,0.13,1976,2011-08-15,FALSE,NA,FALSE,0,227,Aug
11,5,48,57,50,66,36,1946,78,1993,0.23,2.14,1994,2011-11-05,FALSE,NA,FALSE,0.45,309,Nov
4,19,52,66,48,65,40,1971,86,2009,0,1.25,1988,2011-04-19,FALSE,NA,FALSE,0.22,109,Apr
2,16,43,54,46,60,35,1966,69,2007,0.76,1.33,1990,2011-02-16,FALSE,NA,FALSE,1.31,47,Feb
1,21,43,60,44,57,30,1962,67,1976,0,4.07,1967,2011-01-21,FALSE,NA,FALSE,0.6299999999999999,21,Jan
7,8,53,72,54,71,48,1951,90,1985,0,0.23,1974,2011-07-08,FALSE,NA,FALSE,0,189,Jul
10,21,53,71,53,70,39,1949,82,1965,0,0.13,1970,2011-10-21,FALSE,NA,FALSE,1.1800000000000002,294,Oct
5,31,54,60,52,68,46,1962,91,2001,0.07,0.11,1947,2011-05-31,FALSE,NA,FALSE,0.47,151,May
3,8,50,59,47,61,37,1985,79,2004,0,1.99,1978,2011-03-08,FALSE,NA,FALSE,0.65,67,Mar
5,11,51,59,50,66,42,1982,85,1959,0,0.11,1958,2011-05-11,FALSE,NA,FALSE,0,131,May
1,7,39,47,44,56,31,1973,65,2003,0,0.87,1956,2011-01-07,FALSE,NA,FALSE,0.43999999999999995,7,Jan
2,28,40,57,46,60,33,1955,73,1959,0,0.66,1981,2011-02-28,FALSE,NA,FALSE,4.790000000000001,59,Feb
7,5,52,78,54,71,48,1965,81,1981,0,0,NA,2011-07-05,FALSE,NA,FALSE,0,186,Jul
4,22,48,58,48,65,42,1963,82,1981,0,0.6,1988,2011-04-22,FALSE,NA,FALSE,0.27,112,Apr
1,6,37,52,44,56,29,1950,66,2003,0,2.34,1993,2011-01-06,FALSE,NA,FALSE,0.43999999999999995,6,Jan
8,4,57,64,56,72,50,1966,87,1998,0,0,NA,2011-08-04,FALSE,NA,FALSE,0,216,Aug
9,18,55,81,56,74,46,1955,93,2009,0,2.29,1959,2011-09-18,FALSE,NA,FALSE,0,261,Sep
2,27,36,55,46,60,32,1951,75,1992,0,1.17,2006,2011-02-27,FALSE,NA,FALSE,4.790000000000001,58,Feb
12,20,40,60,44,56,31,1965,69,1999,0,0.91,1970,2011-12-20,FALSE,NA,FALSE,0.13,354,Dec
7,3,56,84,54,71,48,1953,89,1970,0,0.01,1955,2011-07-03,FALSE,NA,FALSE,0,184,Jul
1,8,43,49,44,56,30,1955,70,1962,0,1.33,1979,2011-01-08,FALSE,NA,FALSE,0.43999999999999995,8,Jan
4,30,50,69,49,66,41,1946,90,1996,0,0.71,1983,2011-04-30,FALSE,NA,FALSE,0.33000000000000007,120,Apr
6,10,53,63,53,70,47,1972,94,1994,0,0.03,2009,2011-06-10,FALSE,NA,FALSE,0.97,161,Jun
2,23,41,53,46,60,35,1955,73,1985,0,0.77,1969,2011-02-23,FALSE,NA,FALSE,3.830000000000001,54,Feb
7,11,53,63,54,71,48,1998,93,1983,0,0,NA,2011-07-11,FALSE,NA,FALSE,0,192,Jul
12,18,40,53,44,56,30,1965,65,1958,0,1.77,2005,2011-12-18,FALSE,NA,FALSE,0.13,352,Dec
8,8,55,66,56,72,47,1946,89,2002,0,0.01,1962,2011-08-08,FALSE,NA,FALSE,0,220,Aug
12,24,36,57,44,56,29,1990,65,1967,0,2,1983,2011-12-24,FALSE,NA,FALSE,0.13,358,Dec
1,10,36,49,44,56,29,1949,68,1953,0,1.23,1950,2011-01-10,FALSE,NA,FALSE,0.43999999999999995,10,Jan
